sort_index,relative_file_path,original_file_url
39,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa%202.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_CUNHANTAINANG_khoa%202.pdf
40,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa-2-2e3f57bc.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_CUNHANTAINANG_khoa%202.pdf
41,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa%203.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_CUNHANTAINANG_khoa%203.pdf
42,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa-3-403d6b20.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_CUNHANTAINANG_khoa%203.pdf
43,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa%204.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_CUNHANTAINANG_khoa%204.pdf
44,daa/chuongtrinh_daotao/he-chinhquy/khac/chuongtrinhdaotaocu/pdf/CTDT_CUNHANTAINANG_khoa-4-cf6d4c8c.pdf,https://daa.uit.edu.vn/sites/daa/files/files/CTDT_CUNHANTAINANG_khoa%204.pdf
45,daa/thongbao/thongbao-chinhquy/pdf/Luu%20y%20sinh%20vien%20tham%20gia%20le.pdf,https://daa.uit.edu.vn/sites/daa/files/files/Luu%20y%20sinh%20vien%20tham%20gia%20le.pdf
46,daa/thongbao/thongbao-chinhquy/pdf/Thong%20Bao%20Le%20Tot%20Nghiep%20Dot%201%20-%202012.pdf,https://daa.uit.edu.vn/sites/daa/files/files/Thong%20Bao%20Le%20Tot%20Nghiep%20Dot%201%20-%202012.pdf
47,daa/thongbao/thongbao-chinhquy/pdf/DANH_SACH_SV_NOP_TIEN_BHYT-BHTN_DOT_2.pdf,https://daa.uit.edu.vn/sites/daa/files/files/DANH_SACH_SV_NOP_TIEN_BHYT-BHTN_DOT_2.pdf
48,daa/quydinh_huongdan/qui-che-qui-dinh-qui-trinh/14-qui-dinh-cach-dat-ma-mon-hoc/37-dtdh_19-11-2012_qui_dinh_cach_dat_ma_mon_hoc-e8724ea9.pdf,https://daa.uit.edu.vn/sites/daa/files/202309/37-dtdh_19-11-2012_qui_dinh_cach_dat_ma_mon_hoc.pdf
49,daa/quydinh_huongdan/qui-che-qui-dinh-qui-trinh/14-qui-dinh-cach-dat-ma-mon-hoc/37-dtdh_19-11-2012_qui_dinh_cach_dat_ma_mon_hoc.pdf,https://daa.uit.edu.vn/sites/daa/files/202309/37-dtdh_19-11-2012_qui_dinh_cach_dat_ma_mon_hoc.pdf
50,daa/quydinh_huongdan/qui-che-qui-dinh-qui-trinh/08-quyet-dinh-ve-viec-ban-hanh-quy-trinh-bao-nghi-day-day-bu/35-qd-dhcntt-dtdh_28-02-2013_quyet_dinh_ve_viec_ban_hanh_quy_trinh_bao_nghi_day_day_bu.pdf,https://daa.uit.edu.vn/sites/daa/files/202309/35-qd-dhcntt-dtdh_28-02-2013_quyet_dinh_ve_viec_ban_hanh_quy_trinh_bao_nghi_day_day_bu.pdf
51,daa/quydinh_huongdan/huong-dan-chuan-qua-trinh/pdf/147-qd-dhcntt-dtdh_31-07-2013_quyet_dinh_ve_viec_ban_hanh_chuan_dau_ra_tieng_anh_ch-9216880f.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/147-qd-dhcntt-dtdh_31-07-2013_quyet_dinh_ve_viec_ban_hanh_chuan_dau_ra_tieng_anh_cho_sv_he_cq_2006-2014_0_0.pdf
52,daa/quydinh_huongdan/huong-dan-chuan-qua-trinh/pdf/147-qd-dhcntt-dtdh_31-07-2013_quyet_dinh_ve_viec_ban_hanh_chuan_dau_ra_tieng_anh_cho_sv_he_cq_2006-2014_0_0.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/147-qd-dhcntt-dtdh_31-07-2013_quyet_dinh_ve_viec_ban_hanh_chuan_dau_ra_tieng_anh_cho_sv_he_cq_2006-2014_0_0.pdf
53,daa/quydinh_huongdan/qui-che-qui-dinh-qui-trinh/05-quy-dinh-dao-tao-ngoai-ngu-doi-voi-he-d-7673d143/147-qd-dhcntt-dtdh_31-07-2013_quyet_dinh_ve_viec_ban_hanh_chuan_dau_ra_tieng_anh_ch-9216880f.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/147-qd-dhcntt-dtdh_31-07-2013_quyet_dinh_ve_viec_ban_hanh_chuan_dau_ra_tieng_anh_cho_sv_he_cq_2006-2014_0_0.pdf
54,daa/quydinh_huongdan/qui-che-qui-dinh-qui-trinh/05-quy-dinh-dao-tao-ngoai-ngu-doi-voi-he-dai-hoc-chinh-quy-cua-truong-dhcntt/147-qd-dhcntt-dtdh_31-07-2013_quyet_dinh_ve_viec_ban_hanh_chuan_dau_ra_tieng_anh_cho_sv_he_cq_2006-2014_0_0.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/147-qd-dhcntt-dtdh_31-07-2013_quyet_dinh_ve_viec_ban_hanh_chuan_dau_ra_tieng_anh_cho_sv_he_cq_2006-2014_0_0.pdf
55,daa/chuongtrinh_daotao/he-chinhquy/dean/4-thi-iem-lien-truong-nganh-cong-nghe-nong-nghiep-so-trinh-o-ai-hoc-cong-thong-tin-ao-tao/pdf/qd777_250623_phe_duyet_nganh_cnnns.signed.pdf,https://daa.uit.edu.vn/sites/daa/files/202506/qd777_250623_phe_duyet_nganh_cnnns.signed.pdf
56,daa/khac/chua-phan-loai/pdf/qd1681_231130_phe_duyet_song_nganh_tmdt_dh_cntt.pdf,https://daa.uit.edu.vn/sites/daa/files/202412/qd1681_231130_phe_duyet_song_nganh_tmdt_dh_cntt.pdf
57,daa/chuongtrinh_daotao/he-chinhquy/dean/9-thiet-ke-vi-mach-cong-thong-tin-ao-tao/pdf/qd399_240426_quyet_dinh_mo_nganh_thiet_ke_vi_mach.pdf,https://daa.uit.edu.vn/sites/daa/files/202412/qd399_240426_quyet_dinh_mo_nganh_thiet_ke_vi_mach.pdf
58,daa/quydinh_huongdan/quyche-dhqg-hcm/pdf/qd1537_241029_quy_dinh_dao_tao_va_cong_nhan_tin_chi_khoa_hoc_mooc-signed-b3ae2e2b.pdf,https://daa.uit.edu.vn/sites/daa/files/202410/qd1537_241029_quy_dinh_dao_tao_va_cong_nhan_tin_chi_khoa_hoc_mooc.signed.pdf
59,daa/quydinh_huongdan/quyche-dhqg-hcm/pdf/qd1537_241029_quy_dinh_dao_tao_va_cong_nhan_tin_chi_khoa_hoc_mooc.signed.pdf,https://daa.uit.edu.vn/sites/daa/files/202410/qd1537_241029_quy_dinh_dao_tao_va_cong_nhan_tin_chi_khoa_hoc_mooc.signed.pdf
60,daa/quydinh_huongdan/quyche-dhqg-hcm/pdf/qd2003_251017_quy_dinh_thi_diem_dao_tao_lien_truong_cap_nhat-signed-99057e61.pdf,https://daa.uit.edu.vn/sites/daa/files/202510/qd2003_251017_quy_dinh_thi_diem_dao_tao_lien_truong_cap_nhat.signed.pdf
61,daa/quydinh_huongdan/quyche-dhqg-hcm/pdf/qd2003_251017_quy_dinh_thi_diem_dao_tao_lien_truong_cap_nhat.signed.pdf,https://daa.uit.edu.vn/sites/daa/files/202510/qd2003_251017_quy_dinh_thi_diem_dao_tao_lien_truong_cap_nhat.signed.pdf
62,daa/quydinh_huongdan/huong-dan-chuan-qua-trinh/pdf/125-qd-dhcntt-dtdh_18-09-2015_quyet_dinh_ban_hanh_qui_dinh_tam_thoi_day_va_hoc_tien-54269968.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/125-qd-dhcntt-dtdh_18-09-2015_quyet_dinh_ban_hanh_qui_dinh_tam_thoi_day_va_hoc_tieng_anh_khoa_2015_0.pdf
63,daa/quydinh_huongdan/huong-dan-chuan-qua-trinh/pdf/125-qd-dhcntt-dtdh_18-09-2015_quyet_dinh_ban_hanh_qui_dinh_tam_thoi_day_va_hoc_tieng_anh_khoa_2015_0.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/125-qd-dhcntt-dtdh_18-09-2015_quyet_dinh_ban_hanh_qui_dinh_tam_thoi_day_va_hoc_tieng_anh_khoa_2015_0.pdf
64,daa/quydinh_huongdan/qui-che-qui-dinh-qui-trinh/05-quy-dinh-dao-tao-ngoai-ngu-doi-voi-he-d-7673d143/125-qd-dhcntt-dtdh_18-09-2015_quyet_dinh_ban_hanh_qui_dinh_tam_thoi_day_va_hoc_tien-54269968.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/125-qd-dhcntt-dtdh_18-09-2015_quyet_dinh_ban_hanh_qui_dinh_tam_thoi_day_va_hoc_tieng_anh_khoa_2015_0.pdf
65,daa/quydinh_huongdan/qui-che-qui-dinh-qui-trinh/05-quy-dinh-dao-tao-ngoai-ngu-doi-voi-he-dai-hoc-chinh-quy-cua-truong-dhcntt/125-qd-dhcntt-dtdh_18-09-2015_quyet_dinh_ban_hanh_qui_dinh_tam_thoi_day_va_hoc_tieng_anh_khoa_2015_0.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/125-qd-dhcntt-dtdh_18-09-2015_quyet_dinh_ban_hanh_qui_dinh_tam_thoi_day_va_hoc_tieng_anh_khoa_2015_0.pdf
66,daa/quydinh_huongdan/quyche-dhqg-hcm/pdf/1476_qd_dhqg_27-1-120_phe_duyet_ctmh_giao_duc_the_chat-23c89902.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/1476_qd_dhqg_27-1-120_phe_duyet_ctmh_giao_duc_the_chat.pdf
67,daa/quydinh_huongdan/quyche-dhqg-hcm/pdf/1476_qd_dhqg_27-1-120_phe_duyet_ctmh_giao_duc_the_chat.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/1476_qd_dhqg_27-1-120_phe_duyet_ctmh_giao_duc_the_chat.pdf
68,daa/quydinh_huongdan/huong-dan-chuan-qua-trinh/pdf/128-qd-dhcntt-dtdh_30-8-2016_ban_hanh_qd_day_va_hoc_nn_doi_voi_he_dai_hoc_cq_cua_tr-b7925fae.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/128-qd-dhcntt-dtdh_30-8-2016_ban_hanh_qd_day_va_hoc_nn_doi_voi_he_dai_hoc_cq_cua_truong_dhcntt_khoa_2016.pdf
69,daa/quydinh_huongdan/huong-dan-chuan-qua-trinh/pdf/128-qd-dhcntt-dtdh_30-8-2016_ban_hanh_qd_day_va_hoc_nn_doi_voi_he_dai_hoc_cq_cua_truong_dhcntt_khoa_2016.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/128-qd-dhcntt-dtdh_30-8-2016_ban_hanh_qd_day_va_hoc_nn_doi_voi_he_dai_hoc_cq_cua_truong_dhcntt_khoa_2016.pdf
70,daa/quydinh_huongdan/qui-che-qui-dinh-qui-trinh/05-quy-dinh-dao-tao-ngoai-ngu-doi-voi-he-d-7673d143/128-qd-dhcntt-dtdh_30-8-2016_ban_hanh_qd_day_va_hoc_nn_doi_voi_he_dai_hoc_cq_cua_tr-b7925fae.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/128-qd-dhcntt-dtdh_30-8-2016_ban_hanh_qd_day_va_hoc_nn_doi_voi_he_dai_hoc_cq_cua_truong_dhcntt_khoa_2016.pdf
71,daa/quydinh_huongdan/qui-che-qui-dinh-qui-trinh/05-quy-dinh-dao-tao-ngoai-ngu-doi-voi-he-dai-hoc-chinh-quy-cua-truong-dhcntt/128-qd-dhcntt-dtdh_30-8-2016_ban_hanh_qd_day_va_hoc_nn_doi_voi_he_dai_hoc_cq_cua_truong_dhcntt_khoa_2016.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/128-qd-dhcntt-dtdh_30-8-2016_ban_hanh_qd_day_va_hoc_nn_doi_voi_he_dai_hoc_cq_cua_truong_dhcntt_khoa_2016.pdf
72,daa/quydinh_huongdan/huong-dan-chuan-qua-trinh/pdf/03-tb-dhcntt_17-1-2017-f52894f9.pdf,https://daa.uit.edu.vn/sites/daa/files/201701/03-tb-dhcntt_17-1-2017.pdf
73,daa/quydinh_huongdan/huong-dan-chuan-qua-trinh/pdf/03-tb-dhcntt_17-1-2017.pdf,https://daa.uit.edu.vn/sites/daa/files/201701/03-tb-dhcntt_17-1-2017.pdf
74,daa/chuongtrinh_daotao/he-chinhquy/dean/7-thuong-mai-ien-tu-cong-thong-tin-ao-tao/pdf/15-qd-dhqg08-01-2018_scan.pdf,https://daa.uit.edu.vn/sites/daa/files/202412/15-qd-dhqg08-01-2018_scan.pdf
75,daa/chuongtrinh_daotao/he-chinhquy/dean/7-thuong-mai-ien-tu-cong-thong-tin-ao-tao/pdf/de_an_mo_nganh_thuong_mai_dien_tu.pdf,https://daa.uit.edu.vn/sites/daa/files/202412/de_an_mo_nganh_thuong_mai_dien_tu.pdf
76,daa/quydinh_huongdan/quyche-dhqg-hcm/pdf/170_qd_dhqg_27_02_2018_cong_nhan_chung_chi_ngoai_ngu-623c2715.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/170_qd_dhqg_27_02_2018_cong_nhan_chung_chi_ngoai_ngu.pdf
77,daa/quydinh_huongdan/quyche-dhqg-hcm/pdf/170_qd_dhqg_27_02_2018_cong_nhan_chung_chi_ngoai_ngu.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/170_qd_dhqg_27_02_2018_cong_nhan_chung_chi_ngoai_ngu.pdf
78,daa/quydinh_huongdan/huong-dan-chuan-qua-trinh/pdf/141-qd-dhcntt16-3-2018quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_dh_chinh_quy_cua_truong-ed160e55.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/141-qd-dhcntt16-3-2018quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_dh_chinh_quy_cua_truong_dhcntt_ap_dung_tu_khoa_2017_0.pdf
79,daa/quydinh_huongdan/huong-dan-chuan-qua-trinh/pdf/141-qd-dhcntt16-3-2018quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_dh_chinh_quy_cua_truong_dhcntt_ap_dung_tu_khoa_2017_0.pdf,https://daa.uit.edu.vn/sites/daa/files/202310/141-qd-dhcntt16-3-2018quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_dh_chinh_quy_cua_truong_dhcntt_ap_dung_tu_khoa_2017_0.pdf
