"issue","original_path","quarantined_path","detail"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kythuatmaytinh/html/daa-uit-edu-vn_content_ky-su-nganh-ky-764b25fb_page-2_eb12c8ff.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kythuatmaytinh/html/daa-uit-edu-vn_content_ky-su-nganh-ky-764b25fb_page-2_eb12c8ff.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kythuatmaytinh/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-may-tinh-ap-dung-tu-khoa-7-2012page=1.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kythuatmaytinh/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-may-tinh-ap-dung-tu-khoa-7-2012page=1.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kythuatmaytinh/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-may-tinh-ap-dung-tu-khoa-7-2012page=2.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kythuatmaytinh/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-may-tinh-ap-dung-tu-khoa-7-2012page=2.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kythuatphanmem/html/daa-uit-edu-vn_content_ky-su-nganh-ky-f639dd4e.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kythuatphanmem/html/daa-uit-edu-vn_content_ky-su-nganh-ky-f639dd4e.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kythuatphanmem/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-7-2012.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kythuatphanmem/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-7-2012.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kythuatphanmem/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-7-2012page=1.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kythuatphanmem/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-7-2012page=1.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kythuatphanmem/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-7-2012page=2.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kythuatphanmem/html/daa.uit.edu.vn_content_ky-su-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-7-2012page=2.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/antoanthongtin/html/daa.uit.edu.vn_content_ky-su-nganh-toan-thong-tin-va-chuyen-nganh-toan-ninh-thong-tin-ap-dung-tu-khoa-7-den-khoa-8.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/antoanthongtin/html/daa.uit.edu.vn_content_ky-su-nganh-toan-thong-tin-va-chuyen-nganh-toan-ninh-thong-tin-ap-dung-tu-khoa-7-den-khoa-8.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/antoanthongtin/html/daa.uit.edu.vn_content_ky-su-nganh-toan-thong-tin-va-chuyen-nganh-toan-ninh-thong-tin-ap-dung-tu-khoa-7-den-khoa-8page=1.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/antoanthongtin/html/daa.uit.edu.vn_content_ky-su-nganh-toan-thong-tin-va-chuyen-nganh-toan-ninh-thong-tin-ap-dung-tu-khoa-7-den-khoa-8page=1.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/congnghethongtin/html/daa-uit-edu-vn_content_cu-nhan-nganh-c-cc73055b.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2013/congnghethongtin/html/daa-uit-edu-vn_content_cu-nhan-nganh-c-cc73055b.html",".html"
