page_url,attachment_url,status,terminal_state,local_path,error
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-022016-tu-van-tuyen-sinh-nam-2016,https://ctsv.uit.edu.vn/sites/default/files/201603/02_kh_dhcntt_ctsv29_01_2016.scan_.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-022018-chuc-cac-hoat-dong-cho-lop-truong-nam-2018,https://ctsv.uit.edu.vn/sites/default/files/201905/02_kh_dhcntt13_3_2018_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-022019-chuoi-chuong-trinh-wetalk-buoi-tro-chuyen-truyen-cam-hung,https://ctsv.uit.edu.vn/sites/default/files/201905/02_kh_dhcntt20_02_2019_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-022020-tuan-sinh-hoat-cong-dan-sinh-vien-cuoi-khoa,https://ctsv.uit.edu.vn/sites/default/files/202005/02_kh_dhcntt17_01_2020_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-022022-gap-mat-sinh-vien-khoa-2021,https://ctsv.uit.edu.vn/sites/default/files/202209/02_kh_dhcntt13_01_2022_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-032016-hoi-nghi-cong-tac-sinh-vien-nam-2016,https://ctsv.uit.edu.vn/sites/default/files/201603/03_kh_dhcntt_ctsv22_2_2016_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-032017-tuan-sinh-hoat-cong-dan-sinh-vien-cuoi-khoa,https://ctsv.uit.edu.vn/sites/default/files/201708/03-kh-dhcntt10-3-2017.scan_.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-032018-chuc-cac-hoat-dong-cuu-sinh-vien-nam-2018,https://ctsv.uit.edu.vn/sites/default/files/201905/03_kh_dhcntt13_3_2018_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-032019-trien-khai-quyet-dinh-so-1501qd-ttg-ngay-2882015-cua-thu-tuong-chinh-phu,https://ctsv.uit.edu.vn/sites/default/files/201905/03_kh_dhcntt20_02_2019_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-032023-chuc-cac-hoat-dong-cho-lop-truong-nam-2023,https://ctsv.uit.edu.vn/sites/default/files/202302/03_kh_dhcntt15_02_2023_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-042016-hoi-nghi-sinh-vien-nam-hoc-2015-2016,https://ctsv.uit.edu.vn/sites/default/files/201603/04_kh_dhcntt_ctsv26_2_2016_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-042017-dang-cai-chuc-mon-co-tuong-co-vua-hoi-thao-sv-dhqg-hcm-lan-thu-xi,https://ctsv.uit.edu.vn/sites/default/files/201708/04_kh_dhcntt_29_3_2017.scan_.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-042019-tuan-sinh-hoat-cong-dan-sinh-vien-cuoi-khoa-nam-2019,https://ctsv.uit.edu.vn/sites/default/files/201905/04_kh_dhcntt25_02_2019_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-042023-chuc-cac-hoat-dong-duc-thao-sinh-vien-nam-2023,https://ctsv.uit.edu.vn/sites/default/files/202302/04_kh_dhcntt15_02_2023_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-so-052019-chuc-cac-hoat-dong-duc-thao-sinh-vien-nam-2019,https://ctsv.uit.edu.vn/sites/default/files/201905/05_kh_dhcntt_25_02_2019_scan.pdf,manifested,True,,
